name,time,time_left,last_online,last_update,init_DartMonkey,init_BoomerangMonkey,init_BombShooter,init_TackShooter,init_IceMonkey,init_GlueGunner,init_Desperado,init_SniperMonkey,init_MonkeySub,init_MonkeyBuccaneer,init_MonkeyAce,init_HeliPilot,init_MortarMonkey,init_DartlingGunner,init_WizardMonkey,init_SuperMonkey,init_NinjaMonkey,init_Alchemist,init_Druid,init_Mermonkey,init_BananaFarm,init_SpikeFactory,init_MonkeyVillage,init_EngineerMonkey,init_BeastHandler,init_Quincy,init_Gwendolin,init_StrikerJones,init_ObynGreenfoot,init_Silas,init_Benjamin,init_PatFusty,init_CaptainChurchill,init_Ezili,init_Rosalia,init_Etienne,init_Sauda,init_Adora,init_AdmiralBrickell,init_Psi,init_Geraldo,init_Corvus,init_gamecount,init_follower,DartMonkey,BoomerangMonkey,BombShooter,TackShooter,IceMonkey,GlueGunner,Desperado,SniperMonkey,MonkeySub,MonkeyBuccaneer,MonkeyAce,HeliPilot,MortarMonkey,DartlingGunner,WizardMonkey,SuperMonkey,NinjaMonkey,Alchemist,Druid,Mermonkey,BananaFarm,SpikeFactory,MonkeyVillage,EngineerMonkey,BeastHandler,Quincy,Gwendolin,StrikerJones,ObynGreenfoot,Silas,Benjamin,PatFusty,CaptainChurchill,Ezili,Rosalia,Etienne,Sauda,Adora,AdmiralBrickell,Psi,Geraldo,Corvus,gamecount,follower,url,pfp_url
rouxlette,1489900,4291000,0,,1618,830,1642,907,800,281,97,1504,935,2374,255,454,195,294,2376,1373,1055,805,941,775,4491,1257,836,208,191,154,46,75,349,71.0,2,19,21,2,24,1307,384,8,23,126,8,6,3888,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb91eded691ada34c4bde1e5b76e125ca0d4bed9c14d13c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
MasterSpike77,1615950,2237000,0,,12630,8707,7533,8152,7381,7262,1962,12145,7223,8127,9322,8118,6564,7139,10046,8669,9403,9436,9399,2898,9833,12393,7789,7967,4128,2108,531,434,679,54.0,454,315,679,210,121,8187,849,293,315,274,251,77,26538,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9ce941dddd97acf71e44dc480b25e77ecd0215bbcd44de30,https://static-api.nkstatic.com/appdocs/4/assets/opendata/be99bb17f8ab6d4953edcfcb2c6e7e0c_ProfileAvatar48.png
Resistant9043,208700,12874000,0,,1259,968,534,423,512,299,396,823,1024,944,368,152,136,218,616,184,588,481,862,1242,1275,308,666,520,115,223,232,14,54,6.0,172,14,27,36,0,179,175,0,150,116,0,0,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb612da8ac0aaf41d47da4c5f77e72699551dedcb13da3b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/a1f857b4a0c0f1c1476a65f5ded7fdf9_ProfileAvatar117.png
Placebo55,225000,11801000,0,,18821,13427,5264,6399,6079,2364,424,13304,3410,12783,18407,2427,1718,2345,7430,3884,12989,10091,12518,1749,16238,5871,6383,4070,783,1754,794,673,1305,75.0,698,334,384,361,313,6104,2297,662,369,572,720,103,27873,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbc46d88a97afa11c4b881a5c70b275c8511ab59811dd38,https://static-api.nkstatic.com/appdocs/4/assets/opendata/58c6650f0e67a4737d16441bb0358fc0_ProfileAvatar73.png
bankennkun,226100,8272000,0,,11745,10658,3933,7388,4273,1574,326,5882,4086,11075,8227,2916,1252,1625,6305,3438,7137,3988,5740,891,17743,4919,5131,4238,1185,1060,649,158,660,16.0,691,78,276,293,61,279,2251,183,207,85,224,31,15567,63,0,0,0,0,3,0,0,0,1,2,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,https://data.ninjakiwi.com/btd6/users/9fbb14d88d90fea31f16dd1e5825e025c80148b89e13de30,https://static-api.nkstatic.com/appdocs/4/assets/opendata/dde591f892378966311bee7369cf6d05_ProfileAvatar38.png
TrippyWitch6087,231133,9635000,0,,12825,6955,3657,4145,4253,4608,1723,10632,7044,11864,2263,2773,1674,1714,5483,2865,7635,11717,7794,3337,14944,4235,12814,4343,1075,1000,378,436,1333,292.0,1022,265,306,396,124,2665,2920,124,153,1580,250,6,19700,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9ced15d98c94fdf4104b8b1d0d7bef70cd571bb9cf13d13b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/7a36b416a716db9bca6068d85780c3ee_ProfileAvatar65.png
august 10th,231850,8513000,11801771,,590,537,142,135,147,81,91,198,130,357,42,69,37,23,106,109,266,130,236,75,263,92,253,86,15,73,13,17,44,,39,4,1,1,2,17,73,3,20,0,1,0,708,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb71283dc95a8a14b4b8a1e0a21b722c4524bbd9f15df3f,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
innocence527,234333,12772000,0,,15092,8327,2379,2871,2397,2033,365,6005,5008,12904,6072,2366,630,1114,5486,3475,6943,8932,6530,586,22703,3082,8633,3033,1052,521,409,211,814,40.0,4090,83,112,93,50,434,1872,78,102,161,215,20,14790,2,0,0,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,https://data.ninjakiwi.com/btd6/users/9fbd148cdb97aca51114de4b5872e476cf521bb89e428e6d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/0fb277e64c75fc888d3dca1a1f4cedae_ProfileAvatar120.png
abdallah,236950,12672000,0,,387,152,157,248,197,55,47,279,191,261,99,73,78,120,215,67,306,115,165,68,412,104,144,112,109,42,21,44,8,25.0,15,2,2,3,17,32,58,1,10,5,1,1,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbb15838dc7fda5104add4c5976b3739f504fb99815d838,https://static-api.nkstatic.com/appdocs/4/assets/opendata/c9e733296983b2065232101e2cb7fb45_ProfileAvatar21.png
pynkdept,237717,12911000,0,,484,513,539,375,465,205,72,279,394,1097,215,87,30,136,994,225,1348,159,720,131,954,246,319,126,3,15,23,7,205,,15,36,0,6,0,0,0,12,3,35,10,0,681,0,0,0,0,0,5,0,0,0,2,4,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,2,0,https://data.ninjakiwi.com/btd6/users/9fb61edad997adf01f14db4d5a27e521c40648e9cc16d939,https://static-api.nkstatic.com/appdocs/4/assets/opendata/8d1f5c0e0b236db312bc778b894501a7_ProfileAvatar40.png
Player,238433,9971000,0,,3774,2515,626,964,643,402,205,1953,778,2363,929,1238,174,278,969,466,1935,1399,1380,271,3545,582,1642,806,191,424,103,109,321,17.0,197,14,36,12,15,71,533,11,16,298,9,114,3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9ce94188d69efaf44d138b4c5f71e77f9f044ceacd45da3b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/690b025a82d05b27715dd610e466ef7f_ProfileAvatar101.png
Truffle,240017,12145000,0,,738,1087,600,221,214,300,159,420,366,1018,390,36,56,261,382,253,1011,182,556,105,2272,104,434,293,178,11,12,0,25,35.0,172,8,2,0,0,0,0,0,0,0,89,0,1134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbc11da8993fea51d118f1f0e74e276c4054eefc843da3b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
bibber,240567,9124000,11801771,,965,569,305,151,1197,289,295,681,750,948,331,144,207,413,430,179,526,804,504,518,1676,278,727,217,289,129,238,53,95,10.0,76,27,24,11,164,47,46,21,23,15,37,10,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbb10888a96fff71a4b891e5f7be5219f021ebccc42d06e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/7d813d191b61f1c09463ec2567123d1e_ProfileAvatar03.png
S.Moon,244733,13723000,0,,4551,3055,875,1699,2550,728,946,1994,1113,2694,1543,548,691,925,1303,740,1169,1320,1912,1958,4960,1236,2018,832,326,51,138,99,110,95.0,293,42,216,69,57,89,278,14,57,19,72,0,4412,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb74583de97faa14e11db1f5e70e67e9f001eb999128c3a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/e0efcee62da40708a4c0a872f76bd89c_ProfileAvatar66.png
itiskop,251983,8978000,0,,23674,11744,4452,3526,4758,2994,599,17394,15152,19214,7941,3118,2109,2494,10048,3332,13354,16208,8063,624,35873,5554,12113,4519,1586,1165,453,231,1107,31.0,9608,161,1353,233,52,585,1722,172,300,315,584,58,27089,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbe168cda96f0ac4c4289480d71e2749f5118ef9841d069,https://static-api.nkstatic.com/appdocs/4/assets/opendata/0fb277e64c75fc888d3dca1a1f4cedae_ProfileAvatar120.png
Boby778899,252967,8749000,0,,2453,547,1066,416,264,134,96,247,501,1014,388,34,98,56,388,303,503,254,511,254,1007,148,2086,332,63,420,15,278,31,20.0,99,17,97,9,5,7,14,2,16,6,5,0,2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb6118d8997a8f11d4b87495d25ee76cc571bbf9816df3e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
chuchanderzz,253033,11845000,0,,484,212,290,128,150,208,42,379,277,741,156,163,80,120,224,157,331,323,243,478,809,84,576,79,54,19,27,11,70,8.0,136,12,6,10,0,156,210,7,4,54,22,0,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbb44dd8a9ffaa04a44884a5b75b476ce5519e8ca17db3f,https://static-api.nkstatic.com/appdocs/4/assets/opendata/be99bb17f8ab6d4953edcfcb2c6e7e0c_ProfileAvatar48.png
Random Child,254150,7897000,0,,2764,1564,677,839,1039,797,445,2282,1362,1174,1220,1754,328,1278,1537,942,1768,1545,1232,750,5545,1004,2214,808,371,434,60,19,222,68.0,334,29,85,5,16,857,389,52,26,219,126,128,6913,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cea17838a90aaf74c47de1a0975e7219a0218ea9712da6d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/a1f857b4a0c0f1c1476a65f5ded7fdf9_ProfileAvatar117.png
SonTingDo,259617,13599000,0,,3440,2428,2717,2272,1319,1016,163,1041,1598,4166,1667,571,829,1088,1760,767,1446,1155,3235,1144,5834,1342,2338,1035,1187,313,338,234,168,26.0,388,80,148,160,99,626,411,120,198,119,97,82,4806,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbc1ed98a91a8f718458e435d76e677cb071fea9a438931,https://static-api.nkstatic.com/appdocs/4/assets/opendata/e02041c502508f551690933405cb548d_ProfileAvatar96.png
Cosmic,261050,13296000,0,,604,530,71,266,155,170,98,161,183,313,105,124,106,174,216,96,208,207,257,223,452,125,162,123,126,44,15,20,58,38.0,45,0,1,51,46,42,73,148,9,31,7,15,1131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cea1383dbc2fca04c47874e0922e77fca0749edcd198a30,https://static-api.nkstatic.com/appdocs/4/assets/opendata/90c55ab36f3552975a6eb7251c17319d_ProfileAvatar55.png
Kitten,266583,9852000,0,,14586,10842,6512,6141,5140,3654,591,7777,6019,14262,6275,3967,1687,2346,9128,5116,11257,8712,9531,2196,19487,8216,8010,7023,1291,913,966,359,1042,81.0,3650,246,236,213,94,426,1665,189,243,413,235,35,18056,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbe17dedb94acf11e47dd420e77e625c95048b89b46de39,https://static-api.nkstatic.com/appdocs/4/assets/opendata/845b9c31facac365f6d1a03247495b7b_ProfileAvatar82.png
Made In Heaven,272700,4520000,0,,9069,1412,310,484,773,363,377,1993,361,1579,929,352,174,235,863,299,792,1470,1095,641,3146,942,1742,626,207,67,56,49,38,50.0,435,17,40,11,407,8,273,3,5,38,16,0,9303,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb71182dec3f1ad1014de180e70b474cf0d1ee8c8108a31,https://static-api.nkstatic.com/appdocs/4/assets/opendata/f6e3c540b6ef197b2a6f9c29bca21374_ProfileAvatar121.png
yongge,289233,9510000,0,,10331,4036,1058,2295,1852,1184,908,4568,2718,2908,2505,930,687,589,2777,796,2804,3235,2559,868,6218,2061,4052,2060,229,494,210,146,348,123.0,265,67,152,61,49,656,1744,144,135,428,112,23,16257,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbc45da8d93aca31a458a4a0e75e621cf554cb99717df39,https://static-api.nkstatic.com/appdocs/4/assets/opendata/c222d33c20b59c0a4d8d85fcb20e9ef4_ProfileAvatar33.png
Player,292467,13085000,0,,316,140,126,123,68,43,36,133,152,204,74,54,26,33,72,48,142,204,154,67,199,36,213,63,47,97,3,11,26,3.0,36,0,1,12,0,7,44,0,6,2,6,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb6468eda9ffba34b448f430d74b076cb0649efcc17de38,https://static-api.nkstatic.com/appdocs/4/assets/opendata/fa82e00cbf8f0cf7204a4d01e598e8d9_ProfileAvatar78.png
zhangdashuai1111,295033,9910000,0,,1616,1129,486,298,456,244,267,645,688,744,704,126,154,133,852,205,915,691,597,1346,1615,615,868,498,118,62,97,21,58,52.0,234,17,49,10,35,47,318,4,22,61,43,13,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb610838d96fda04c418d1a5870e57f9f071cbc99168a3a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/6449232064814cb0ab3a695f10f67244_ProfileAvatar92.png
CloverPhe,304717,10063000,0,,389,383,137,102,178,70,44,140,279,333,142,13,43,29,114,31,286,153,225,48,367,120,314,145,16,4,7,6,54,23.0,42,0,0,0,0,18,71,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb6118bda94aba4104b8b180926ef779f071cbd9d18d06c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/16dc88b029e84ac4495c53ea758bd3e6_ProfileAvatar42.png
Komi,322900,12571000,0,,384,218,181,60,97,84,24,176,213,128,54,47,26,31,156,52,244,226,158,121,62,98,181,73,63,35,10,2,33,,21,4,1,3,4,11,99,0,17,33,0,1,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cec178ade9eaca11147881d5874e473c8564cef98438c3a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/8cb4e7c4459122e4bbe75e99358997e5_ProfileAvatar74.png
sugar-21,349167,10563000,0,,991,405,294,247,306,351,99,760,358,517,423,127,119,71,366,560,442,445,518,334,509,356,1357,323,259,459,35,17,144,7.0,125,10,11,0,2,10,327,15,9,147,33,3,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fba10de8d92a8f011138e495b7bee76ce034ce89719de6c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/5ecbf8e3e22e2575ce5eeb7230c15392_ProfileAvatar07.png
CHUNJIEDEWO,354767,7217000,0,,3903,1965,789,962,1150,679,245,1274,1100,3154,1455,349,396,489,655,654,1613,1514,1403,756,4557,550,1762,875,420,172,172,55,56,13.0,429,15,26,24,210,87,267,224,66,58,44,9,3053,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbc1eded7c5aca210478d4c5721e222c55019b8cd14d83c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/90c55ab36f3552975a6eb7251c17319d_ProfileAvatar55.png
Neptune,356883,13235000,0,,1832,1112,467,606,275,200,132,207,209,744,400,263,261,255,626,197,2043,623,646,59,3376,192,642,596,250,36,17,12,91,21.0,108,7,4,176,0,8,238,60,2,3,0,1,1273,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cec45888b95fdad1817861e0d76b27eca031eb8c815893b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/b1ef093283db879ae51f4dc27b82a5a0_ProfileAvatar37.png
Heid,370750,7399000,0,,26112,16182,6551,12925,10389,3758,1474,10965,7612,18810,9810,5474,3796,5003,10986,3355,13798,9156,7459,5204,17011,10053,11948,6038,1523,1342,957,547,621,109.0,1388,331,453,329,474,292,2644,255,600,810,455,200,17639,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fba1688df9ffcf41f468e1e5e70b2219e0518be99458931,https://static-api.nkstatic.com/appdocs/4/assets/opendata/45be0eb328a702f2fd05784511ee9f18_ProfileAvatar89.png
click clack,154950,21305000,0,,56401,27537,39407,51506,49313,10098,1239,7220,22100,29462,20926,2156,16173,5725,27164,4009,8611,92583,40481,19742,22878,4733,23034,10599,14180,2615,9490,4006,2228,449.0,10512,3779,2313,698,4625,1887,9543,202,3417,582,4523,793,118213,10682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39,https://static-api.nkstatic.com/appdocs/4/assets/opendata/d84627d3e016cfff12b6977db9cb9e0a_ProfileAvatar70.png
b0schi99,214717,25337000,0,,1617,652,458,355,709,103,162,279,354,480,248,461,284,243,833,284,500,221,591,289,850,385,488,543,104,44,35,57,140,2.0,223,14,12,15,137,3,70,9,12,1,2,1,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9ced41d8d9c5fcf3104a894b5925e121ca061bed99468d69,https://static-api.nkstatic.com/appdocs/4/assets/opendata/f6e3c540b6ef197b2a6f9c29bca21374_ProfileAvatar121.png
wjhjjang9798,220983,25421000,0,,7056,3818,1270,2373,2536,1699,570,4576,3158,8534,3115,1795,1082,1029,1970,1351,3408,2702,2689,2139,11500,1529,5074,1956,550,1056,164,152,270,70.0,1196,68,241,56,98,910,554,43,101,110,68,34,7655,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb9448bdb9ffef41e40d9425b70ee21c80415efc8198d30,https://static-api.nkstatic.com/appdocs/4/assets/opendata/be99bb17f8ab6d4953edcfcb2c6e7e0c_ProfileAvatar48.png
NinjaPopper600,223533,16904000,0,,810,584,190,369,481,115,173,443,371,344,152,170,163,113,181,472,253,369,351,216,254,168,342,243,58,36,63,48,32,,306,0,26,0,54,0,0,0,2,0,0,0,1588,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb610dadfc7ffa71f118f4a5726e27599041ce99743de6e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/8786323c7af885fd6d24da2291ce33fa_ProfileAvatar88.png
Ferkk1,231267,14883000,0,,299,131,185,82,184,109,42,203,200,455,104,67,49,90,317,160,288,218,97,113,402,76,324,55,37,63,6,2,25,,24,0,0,2,0,0,29,0,7,0,17,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cee448dd79ef8f31816894a587bb270c9034bbe9d12db6d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/277d4c265ed71fcb8aff04bbeadfa971_ProfileAvatar39.png
PopHero73244,236567,24067000,0,,3229,1782,965,934,448,313,102,1790,749,1211,517,577,208,441,1154,771,1270,644,1002,137,2044,697,724,495,136,185,86,60,111,3.0,50,21,122,16,23,9,755,48,50,23,32,2,5847,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbf148adac7f9f74d118d4d5e71e721c90748edcf13de6b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/e0efcee62da40708a4c0a872f76bd89c_ProfileAvatar66.png
spbANDREW,242283,19491000,0,,7845,7321,1682,3827,3882,927,764,4742,2488,9916,3586,1121,862,1220,4535,1652,5666,4238,4845,3589,17367,2499,5884,1634,603,242,200,114,982,121.0,755,40,134,52,184,469,737,38,104,111,76,37,7818,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb917dfda90aaf04c4a8e4e5b73e577ca0c49eac843db6c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/f6e3c540b6ef197b2a6f9c29bca21374_ProfileAvatar121.png
InitialPatient0,243550,9828000,0,,1419,861,522,648,490,220,497,593,896,830,788,368,146,199,497,158,908,409,343,766,1312,425,806,698,128,84,54,20,28,33.0,278,2,3,9,8,21,528,16,21,8,7,0,2116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb6108e8b90aca34b4a871e0975b5259e0718e89b17da39,https://static-api.nkstatic.com/appdocs/4/assets/opendata/8786323c7af885fd6d24da2291ce33fa_ProfileAvatar88.png
Sugarhigh,246033,24547000,0,,7353,3981,959,1719,1673,1184,580,3899,3123,4821,2387,1082,505,516,2346,1045,3202,4393,7400,1309,7452,2392,5410,1519,720,563,224,140,501,106.0,1659,63,1838,244,149,579,741,118,213,234,106,105,10861,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb942dd8ec0f9a04e44db4f0b71b4739a044ebfcb168e3e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/bd3f5ab674d61e4fdf5ecb48b19ddc9c_ProfileAvatar35.png
